table,variable_a,variable_b,n,pearson_r
leads,prior_searches,prior_inquiries,5000,-0.004950997653211313
leads,log_target_area,log_max_rent_budget,3510,0.6041253724510286
leads,log_target_area,log_max_sale_budget,2497,0.625435426510009
inquiries,log_requested_area,message_length,22576,-0.012091425772497912
inquiries,urgency_days,broker_response_hours,13296,0.011536083361957323
spots,log_area,log_rent_total,2239,0.9182928509090239
spots,log_area,log_sale_total,1808,0.9134005544234053
spots,total_views,total_inquiries,3000,0.9038504881279907
spots,days_on_market,total_views,3000,0.67043968701971
market_context,recent_occupancy_rate,absorption_velocity_days,500,-0.4476496407467456
market_context,recent_occupancy_rate,avg_price_sqm_mxn,500,0.512478811072038
market_context,recent_inquiry_volume,similar_available_spots,500,-0.04557033825605547
