column,source,business_meaning,event_time,observation_time,effective_time,known_at_T0,known_at_T1,known_at_T2,mutable,point_in_time_reconstructable,leakage_risk,notes
lead_id,leads,Lead identifier,leads.created_at intake state,leads.created_at (intake-snapshot assumption),leads.created_at,YES,YES,YES,UNKNOWN,YES,LOW,Use original intake value; no later version history is assumed.
user_type,leads,Lead/customer type,leads.created_at intake state,leads.created_at (intake-snapshot assumption),leads.created_at,YES,YES,YES,UNKNOWN,YES,LOW,Use original intake value; no later version history is assumed.
company_size,leads,Company size,leads.created_at intake state,leads.created_at (intake-snapshot assumption),leads.created_at,YES,YES,YES,UNKNOWN,YES,LOW,Use original intake value; no later version history is assumed.
industry,leads,Lead industry,leads.created_at intake state,leads.created_at (intake-snapshot assumption),leads.created_at,YES,YES,YES,UNKNOWN,YES,LOW,Use original intake value; no later version history is assumed.
search_sector,leads,Requested real-estate sector,leads.created_at intake state,leads.created_at (intake-snapshot assumption),leads.created_at,YES,YES,YES,UNKNOWN,YES,LOW,Use original intake value; no later version history is assumed.
search_modality,leads,Rent/sale/both search mode,leads.created_at intake state,leads.created_at (intake-snapshot assumption),leads.created_at,YES,YES,YES,UNKNOWN,YES,LOW,Use original intake value; no later version history is assumed.
target_area_sqm,leads,Target area,leads.created_at intake state,leads.created_at (intake-snapshot assumption),leads.created_at,YES,YES,YES,UNKNOWN,YES,LOW,Use original intake value; no later version history is assumed.
min_budget_mxn_rent_monthly,leads,Minimum monthly rent budget,leads.created_at intake state,leads.created_at (intake-snapshot assumption),leads.created_at,YES,YES,YES,UNKNOWN,YES,LOW,Use original intake value; no later version history is assumed.
max_budget_mxn_rent_monthly,leads,Maximum monthly rent budget,leads.created_at intake state,leads.created_at (intake-snapshot assumption),leads.created_at,YES,YES,YES,UNKNOWN,YES,LOW,Use original intake value; no later version history is assumed.
min_budget_mxn_sale_total,leads,Minimum purchase budget,leads.created_at intake state,leads.created_at (intake-snapshot assumption),leads.created_at,YES,YES,YES,UNKNOWN,YES,LOW,Use original intake value; no later version history is assumed.
max_budget_mxn_sale_total,leads,Maximum purchase budget,leads.created_at intake state,leads.created_at (intake-snapshot assumption),leads.created_at,YES,YES,YES,UNKNOWN,YES,LOW,Use original intake value; no later version history is assumed.
preferred_state,leads,Preferred state,leads.created_at intake state,leads.created_at (intake-snapshot assumption),leads.created_at,YES,YES,YES,UNKNOWN,YES,LOW,Use original intake value; no later version history is assumed.
preferred_municipality,leads,Preferred municipality,leads.created_at intake state,leads.created_at (intake-snapshot assumption),leads.created_at,YES,YES,YES,UNKNOWN,YES,LOW,Use original intake value; no later version history is assumed.
preferred_corridor,leads,Preferred commercial corridor,leads.created_at intake state,leads.created_at (intake-snapshot assumption),leads.created_at,YES,YES,YES,UNKNOWN,YES,LOW,Use original intake value; no later version history is assumed.
source,leads,Acquisition source,leads.created_at intake state,leads.created_at (intake-snapshot assumption),leads.created_at,YES,YES,YES,UNKNOWN,YES,LOW,Use original intake value; no later version history is assumed.
prior_searches,leads,Declared prior searches count,Aggregate of events before lead creation (not timestamped),Assumed at leads.created_at; not separately timestamped,UNKNOWN,CONDITIONAL,CONDITIONAL,CONDITIONAL,UNKNOWN,CONDITIONAL,HIGH,Requires proof that aggregate is frozen strictly before created_at; prior_searches remains audit-only from prior evidence.
prior_inquiries,leads,Declared prior inquiries count,Aggregate of events before lead creation (not timestamped),Assumed at leads.created_at; not separately timestamped,UNKNOWN,CONDITIONAL,CONDITIONAL,CONDITIONAL,UNKNOWN,CONDITIONAL,MEDIUM,Requires proof that aggregate is frozen strictly before created_at; prior_searches remains audit-only from prior evidence.
has_converted_before,leads,Declared prior conversion flag,Aggregate of events before lead creation (not timestamped),Assumed at leads.created_at; not separately timestamped,UNKNOWN,CONDITIONAL,CONDITIONAL,CONDITIONAL,UNKNOWN,CONDITIONAL,MEDIUM,Requires proof that aggregate is frozen strictly before created_at; prior_searches remains audit-only from prior evidence.
lead_score_internal,leads,Internal pre-existing score,UNKNOWN,UNKNOWN,UNKNOWN,CONDITIONAL,CONDITIONAL,CONDITIONAL,UNKNOWN,NO,CRITICAL,FORBIDDEN. Internal score generation time/inputs are unknown.
created_at,leads,Entity creation timestamp,leads.created_at,leads.created_at,leads.created_at,YES,YES,YES,NO,YES,LOW,Canonical T0 score-time anchor.
inquiry_id,inquiries,Inquiry identifier,inquiries.inquiry_at,inquiries.inquiry_at,inquiries.inquiry_at,NO,YES,YES,NO,YES,LOW,Captured on current inquiry.
lead_id,inquiries,Lead identifier,inquiries.inquiry_at,inquiries.inquiry_at,inquiries.inquiry_at,NO,YES,YES,NO,YES,LOW,Captured on current inquiry.
spot_id,inquiries,Spot identifier,inquiries.inquiry_at,inquiries.inquiry_at,inquiries.inquiry_at,NO,YES,YES,NO,YES,LOW,Captured on current inquiry.
inquiry_at,inquiries,Inquiry event timestamp,inquiries.inquiry_at,inquiries.inquiry_at,inquiries.inquiry_at,NO,YES,YES,NO,YES,LOW,Canonical T1/T2 scoring event time.
channel,inquiries,Inquiry channel,inquiries.inquiry_at,inquiries.inquiry_at,inquiries.inquiry_at,NO,YES,YES,NO,YES,LOW,Captured on current inquiry.
message_length,inquiries,"Length of inquiry message, not raw text",inquiries.inquiry_at,inquiries.inquiry_at,inquiries.inquiry_at,NO,YES,YES,NO,YES,LOW,Captured on current inquiry.
requested_area_sqm,inquiries,Area requested in inquiry,inquiries.inquiry_at,inquiries.inquiry_at,inquiries.inquiry_at,NO,YES,YES,NO,YES,LOW,Captured on current inquiry.
requested_budget_mxn_rent_monthly,inquiries,Rent budget stated in inquiry,inquiries.inquiry_at,inquiries.inquiry_at,inquiries.inquiry_at,NO,YES,YES,NO,YES,LOW,Captured on current inquiry.
requested_budget_mxn_sale_total,inquiries,Purchase budget stated in inquiry,inquiries.inquiry_at,inquiries.inquiry_at,inquiries.inquiry_at,NO,YES,YES,NO,YES,LOW,Captured on current inquiry.
urgency_days,inquiries,Stated urgency in days,inquiries.inquiry_at,inquiries.inquiry_at,inquiries.inquiry_at,NO,YES,YES,NO,YES,LOW,Captured on current inquiry.
asked_visit,inquiries,Lead asked for a visit,inquiries.inquiry_at,inquiries.inquiry_at,inquiries.inquiry_at,NO,YES,YES,NO,YES,LOW,Captured on current inquiry.
broker_response,inquiries,Broker response/status after inquiry,Post-inquiry response event; exact timestamp absent,UNKNOWN,UNKNOWN,NO,NO_CURRENT_INQUIRY,CONDITIONAL_PRIOR_INQUIRIES_ONLY,NO,NO_RELIABLE_RAW_TIMESTAMP,CRITICAL,OUTCOME_ONLY. Current response is unknown at scoring. Permitted for P2 label/audit construction (Target B sensitivity); prohibited as a feature. Primary Target A does not use broker_response_hours.
broker_response_hours,inquiries,Hours from inquiry to broker response/status,Post-inquiry response event; exact timestamp absent,UNKNOWN,UNKNOWN,NO,NO_CURRENT_INQUIRY,CONDITIONAL_PRIOR_INQUIRIES_ONLY,NO,NO_RELIABLE_RAW_TIMESTAMP,CRITICAL,OUTCOME_ONLY. Current response is unknown at scoring. Permitted for P2 label/audit construction (Target B sensitivity); prohibited as a feature. Primary Target A does not use broker_response_hours.
spot_id,spots,Spot identifier,spots.created_at for entity existence,inquiry references spot_id at inquiry_at,spots.created_at,NO_SELECTED_SPOT,YES,YES,NO,YES,LOW,Key only; do not model raw numeric ID.
broker_id,spots,Broker identifier,Field-change event UNKNOWN,Extraction/current-state time UNKNOWN,UNKNOWN,NO_SELECTED_SPOT,CONDITIONAL,CONDITIONAL,UNKNOWN,CONDITIONAL,HIGH,No version history. Backtest use requires immutability/creation-time proof; otherwise block.
sector_name,spots,Spot sector,Field-change event UNKNOWN,Extraction/current-state time UNKNOWN,UNKNOWN,NO_SELECTED_SPOT,CONDITIONAL,CONDITIONAL,UNKNOWN,CONDITIONAL,HIGH,No version history. Backtest use requires immutability/creation-time proof; otherwise block.
type_name,spots,Spot type,Field-change event UNKNOWN,Extraction/current-state time UNKNOWN,UNKNOWN,NO_SELECTED_SPOT,CONDITIONAL,CONDITIONAL,UNKNOWN,CONDITIONAL,HIGH,No version history. Backtest use requires immutability/creation-time proof; otherwise block.
state,spots,Spot/market state,Field-change event UNKNOWN,Extraction/current-state time UNKNOWN,UNKNOWN,NO_SELECTED_SPOT,CONDITIONAL,CONDITIONAL,UNKNOWN,CONDITIONAL,HIGH,No version history. Backtest use requires immutability/creation-time proof; otherwise block.
municipality,spots,Spot/market municipality,Field-change event UNKNOWN,Extraction/current-state time UNKNOWN,UNKNOWN,NO_SELECTED_SPOT,CONDITIONAL,CONDITIONAL,UNKNOWN,CONDITIONAL,HIGH,No version history. Backtest use requires immutability/creation-time proof; otherwise block.
settlement,spots,Spot settlement/neighborhood,Field-change event UNKNOWN,Extraction/current-state time UNKNOWN,UNKNOWN,NO_SELECTED_SPOT,CONDITIONAL,CONDITIONAL,UNKNOWN,CONDITIONAL,HIGH,No version history. Backtest use requires immutability/creation-time proof; otherwise block.
corridor,spots,Commercial corridor,Field-change event UNKNOWN,Extraction/current-state time UNKNOWN,UNKNOWN,NO_SELECTED_SPOT,CONDITIONAL,CONDITIONAL,UNKNOWN,CONDITIONAL,HIGH,No version history. Backtest use requires immutability/creation-time proof; otherwise block.
region,spots,Spot region,Field-change event UNKNOWN,Extraction/current-state time UNKNOWN,UNKNOWN,NO_SELECTED_SPOT,CONDITIONAL,CONDITIONAL,UNKNOWN,CONDITIONAL,HIGH,No version history. Backtest use requires immutability/creation-time proof; otherwise block.
lat,spots,Spot latitude,Field-change event UNKNOWN,Extraction/current-state time UNKNOWN,UNKNOWN,NO_SELECTED_SPOT,CONDITIONAL,CONDITIONAL,UNKNOWN,CONDITIONAL,HIGH,No version history. Backtest use requires immutability/creation-time proof; otherwise block.
lon,spots,Spot longitude,Field-change event UNKNOWN,Extraction/current-state time UNKNOWN,UNKNOWN,NO_SELECTED_SPOT,CONDITIONAL,CONDITIONAL,UNKNOWN,CONDITIONAL,HIGH,No version history. Backtest use requires immutability/creation-time proof; otherwise block.
title,spots,Listing title,Field-change event UNKNOWN,Extraction/current-state time UNKNOWN,UNKNOWN,NO_SELECTED_SPOT,CONDITIONAL,CONDITIONAL,UNKNOWN,CONDITIONAL,HIGH,No version history. Backtest use requires immutability/creation-time proof; otherwise block.
description,spots,Listing description,Field-change event UNKNOWN,Extraction/current-state time UNKNOWN,UNKNOWN,NO_SELECTED_SPOT,CONDITIONAL,CONDITIONAL,UNKNOWN,CONDITIONAL,HIGH,No version history. Backtest use requires immutability/creation-time proof; otherwise block.
area_sqm,spots,Spot area,Field-change event UNKNOWN,Extraction/current-state time UNKNOWN,UNKNOWN,NO_SELECTED_SPOT,CONDITIONAL,CONDITIONAL,UNKNOWN,CONDITIONAL,HIGH,No version history. Backtest use requires immutability/creation-time proof; otherwise block.
price_sqm_mxn_rent,spots,Monthly rent price per sqm,Field-change event UNKNOWN,Extraction/current-state time UNKNOWN,UNKNOWN,NO_SELECTED_SPOT,CONDITIONAL,CONDITIONAL,UNKNOWN,CONDITIONAL,HIGH,No version history. Backtest use requires immutability/creation-time proof; otherwise block.
price_sqm_mxn_sale,spots,Sale price per sqm,Field-change event UNKNOWN,Extraction/current-state time UNKNOWN,UNKNOWN,NO_SELECTED_SPOT,CONDITIONAL,CONDITIONAL,UNKNOWN,CONDITIONAL,HIGH,No version history. Backtest use requires immutability/creation-time proof; otherwise block.
price_total_mxn_rent,spots,Monthly total rent,Field-change event UNKNOWN,Extraction/current-state time UNKNOWN,UNKNOWN,NO_SELECTED_SPOT,CONDITIONAL,CONDITIONAL,UNKNOWN,CONDITIONAL,HIGH,No version history. Backtest use requires immutability/creation-time proof; otherwise block.
price_total_mxn_sale,spots,Total sale price,Field-change event UNKNOWN,Extraction/current-state time UNKNOWN,UNKNOWN,NO_SELECTED_SPOT,CONDITIONAL,CONDITIONAL,UNKNOWN,CONDITIONAL,HIGH,No version history. Backtest use requires immutability/creation-time proof; otherwise block.
maintenance_cost_mxn,spots,Monthly maintenance cost,Field-change event UNKNOWN,Extraction/current-state time UNKNOWN,UNKNOWN,NO_SELECTED_SPOT,CONDITIONAL,CONDITIONAL,UNKNOWN,CONDITIONAL,HIGH,No version history. Backtest use requires immutability/creation-time proof; otherwise block.
modality,spots,Spot modality,Field-change event UNKNOWN,Extraction/current-state time UNKNOWN,UNKNOWN,NO_SELECTED_SPOT,CONDITIONAL,CONDITIONAL,UNKNOWN,CONDITIONAL,HIGH,No version history. Backtest use requires immutability/creation-time proof; otherwise block.
